,index,max_test_score,mean_test_score,min_test_score,nan_test_score?,param_index,params,std_test_score
70,94,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 1, 'fit_intercept': False}",0.0
71,95,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
72,96,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
73,97,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 1, 'fit_intercept': False}",0.0
74,98,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
75,99,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
76,100,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
77,101,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
78,102,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
79,103,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 0.001, 'fit_intercept': False}",0.0
80,106,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
81,107,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
82,108,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
83,109,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
84,110,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 0.001, 'fit_intercept': False}",0.0
85,111,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
86,112,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
87,113,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
88,114,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
89,115,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
