,index,max_test_score,mean_test_score,min_test_score,nan_test_score?,param_index,params,std_test_score
47,60,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
48,62,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
49,63,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
50,64,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
51,65,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.1}",0.0
52,67,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
53,68,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
54,69,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
55,70,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.1}",0.0
56,71,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
57,72,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
58,73,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
59,75,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
60,76,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.1}",0.0
61,77,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
62,78,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
63,79,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
64,80,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
65,81,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
66,82,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
67,84,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
68,85,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.1}",0.0
69,88,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
70,89,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
71,90,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
72,91,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
73,92,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
74,93,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
75,94,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
76,96,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
77,97,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
78,98,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
79,99,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
80,100,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
81,101,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
